name,theme,product_code,ageRange,pieceCount,price,minifigureCount,buildHeight,buildWidth,buildDepth,url,date
Ergänzungsset Sport,DOTS,41958,6+,115.0,3.99,,,,,/de-de/product/extra-dots-series-7---sport-41958,2023-02-28
Design Fun,DOTS,5007361,6+,,14.99,,,,,/de-de/product/design-fun-5007361,2023-02-28
Kreativset Sommerspaß,DOTS,41937,6+,441.0,29.99,,,,,/de-de/product/multi-pack---summer-vibes-41937,2023-02-28
Taschenanhänger Kreativset,DOTS,41949,6+,228.0,29.99,,,,,/de-de/product/bag-tags-mega-pack---messaging-41949,2023-02-28
Hogwarts™ Schreibtisch-Set,DOTS,41811,8+,856.0,44.99,,,,,/de-de/product/hogwarts-desktop-kit-41811,2023-02-28
Hogwarts™ Zubehörset,DOTS,41808,8+,234.0,14.99,,,,,/de-de/product/hogwarts-accessories-pack-41808,2023-02-28
Hedwig™ Stiftehalter,DOTS,41809,6+,518.0,19.99,,,,,/de-de/product/hedwig-pencil-holder-41809,2023-02-28
Message Board,DOTS,41951,6+,531.0,19.99,,,,,/de-de/product/message-board-41951,2023-02-28
Kreativ-Aufkleber Set,DOTS,41957,6+,486.0,29.99,,,,,/de-de/product/adhesive-patches-mega-pack-41957,2023-02-28
Notizheft mit Gummiband,DOTS,5006273,6+,,16.99,,,,,/de-de/product/notebook-with-elastic-band-5006273,2023-02-28
Designer-Set Muster,DOTS,41961,8+,1096.0,64.99,,,,,/de-de/product/designer-toolkit---patterns-41961,2023-02-28
Ergänzungsset XXL – Botschaften,DOTS,41950,6+,722.0,19.99,,,,,/de-de/product/lots-of-dots--lettering-41950,2023-02-28
Große Box,DOTS,41960,7+,479.0,24.99,,,,,/de-de/product/big-box-41960,2023-02-28
Mickys Armband-Kreativset,DOTS,41947,6+,349.0,29.99,,,,,/de-de/product/mickey--friends-bracelets-mega-pack-41947,2023-02-28
Einhorn Familienkreativset,DOTS,41962,6+,707.0,49.99,,,,,/de-de/product/unicorn-creative-family-pack-41962,2023-02-28
